401	3
0.75	0.5	0
1	1	0
0	1	0
1	0	0
0	0	0
0.05	0	0
0.1	0	0
0.15	0	0
0.2	0	0
0.25	0	0
0.3	0	0
0.35	0	0
0.4	0	0
0.45	0	0
0.5	0	0
0.55	0	0
0.6	0	0
0.65	0	0
0.7	0	0
0.75	0	0
0.8	0	0
0.85	0	0
0.9	0	0
0.95	0	0
0	0.95	0
0	0.9	0
0	0.85	0
0	0.8	0
0	0.75	0
0	0.7	0
0	0.65	0
0	0.6	0
0	0.55	0
0	0.5	0
0	0.45	0
0	0.4	0
0	0.35	0
0	0.3	0
0	0.25	0
0	0.2	0
0	0.15	0
0	0.1	0
0	0.05	0
1	0.05	0
1	0.1	0
1	0.15	0
1	0.2	0
1	0.25	0
1	0.3	0
1	0.35	0
1	0.4	0
1	0.45	0
1	0.5	0
1	0.55	0
1	0.6	0
1	0.65	0
1	0.7	0
1	0.75	0
1	0.8	0
1	0.85	0
1	0.9	0
1	0.95	0
0.95	1	0
0.9	1	0
0.85	1	0
0.8	1	0
0.75	1	0
0.7	1	0
0.65	1	0
0.6	1	0
0.55	1	0
0.5	1	0
0.45	1	0
0.4	1	0
0.35	1	0
0.3	1	0
0.25	1	0
0.2	1	0
0.15	1	0
0.1	1	0
0.05	1	0
0.744882	0.550325	0
0.729739	0.598589	0
0.705191	0.642817	0
0.672242	0.681198	0
0.632241	0.712161	0
0.586826	0.734438	0
0.537857	0.747117	0
0.487338	0.749679	0
0.437337	0.742019	0
0.389901	0.724451	0
0.346974	0.697694	0
0.31031	0.662843	0
0.281413	0.621325	0
0.261465	0.574841	0
0.251283	0.525292	0
0.251283	0.474708	0
0.261465	0.425159	0
0.281413	0.378675	0
0.31031	0.337157	0
0.346974	0.302306	0
0.389901	0.275549	0
0.437337	0.257981	0
0.487338	0.250321	0
0.537857	0.252883	0
0.586826	0.265562	0
0.632241	0.287839	0
0.672242	0.318802	0
0.705191	0.357183	0
0.729739	0.401411	0
0.744882	0.449675	0
0.0691888	0.0440225	0
0.174571	0.0431022	0
0.275781	0.043684	0
0.375768	0.0447962	0
0.475988	0.0419802	0
0.576525	0.04391	0
0.676652	0.0439843	0
0.775312	0.0417337	0
